Frequency (A),Statistical unit (REG_KCPE),Sex (M),Unit of measure (NUMBER),Breakdown group identifier (_Z),Time period (2015),Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Candidates who sat for KCPE,Total,Number,Not Applicable,2020,1179192,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Total,Number,Not Applicable,2021,1214031,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Total,Number,Not Applicable,2022,1233396,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Total,Number,Not Applicable,2023,1415125,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Total,Number,Not Applicable,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Candidates who sat for KCPE,Total,Number,Not Applicable,2025,1266521,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2015,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2016,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2017,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2018,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2019,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2020,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2021,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2022,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2023,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Language,2025,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2015,49.98,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2016,50.52,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2017,47.63,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2018,54.69,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2019,53.47,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2020,53.51,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2021,49.06,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2022,49.72,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2023,55,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,English Composition,2025,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,Provisional value,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili,2015,41.38,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili,2016,40.26,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili,2017,39.6,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili,2018,39.39,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili,2019,39.9099999999999,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili,2020,41.56,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili,2021,41.7,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili,2022,40.33,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili,2023,37.7,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
Annual,Subject,Total,Number,Kiswahili,2024,,,,,,,KCPE was not done in 2020 but was done in March 2021,,,,Kenya National Bureau of Statistics
