Frequency (A),Grade / year of study (_T),Sex (M),Unit of measure (NUMBER),Time period (2015),Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Grade 9 / Form 1,Total,Number,2024,1276.8,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 9 / Form 1,Total,Number,2025,,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,Provisional value,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Male,Number,2015,359.8,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Male,Number,2016,372.5,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Male,Number,2017,386.4,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Male,Number,2018,408.7,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Male,Number,2019,450.8,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Male,Number,2020,455.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Male,Number,2021,464.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Male,Number,2022,486,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Male,Number,2023,509.5,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Male,Number,2024,527.3,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Male,Number,2025,633.8,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,Provisional value,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Female,Number,2015,331.6,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Female,Number,2016,357.9,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Female,Number,2017,372.3,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Female,Number,2018,392.5,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Female,Number,2019,457.3,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Female,Number,2020,466.5,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Female,Number,2021,478,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Female,Number,2022,504.4,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
Annual,Grade 10 / Form 2,Female,Number,2023,533.2,,Thousands,,,,Ata for 2020 is as at the Month of March 2020,,,,Kenya National Bureau of Statistics
