Frequency (A),Education level (_T),Grade / year of study (_T),Sex (M),Unit of measure (NUMBER),Time period (2015),Observation,Observation Status,Unit Multiplier,Note for Statistical Unit,Note for Reference Sector,Note for Breakdown Group,Note for Dataset,Reference Period Details,Note for Education Level,Time Period Details,Source
Annual,Basic/Primary education,Grade 4,Female,Number,2020,605.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Female,Number,2021,626.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Female,Number,2022,642.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Female,Number,2023,643.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Female,Number,2024,658.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Female,Number,2025,684.5,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2015,1341.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2016,1362.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2017,1359.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2018,1377.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2019,1301.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2020,1246.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2021,1285.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2022,1301.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2023,1305.3,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2024,1349.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 4,Total,Number,2025,1395.2,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Male,Number,2015,657.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Male,Number,2016,667.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Male,Number,2017,681.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Male,Number,2018,690,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Male,Number,2019,657.4,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Male,Number,2020,679.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Male,Number,2021,649.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Male,Number,2022,646.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Male,Number,2023,653.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Male,Number,2024,692.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Male,Number,2025,684.2,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Female,Number,2015,641.1,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Female,Number,2016,651.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Female,Number,2017,667.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Female,Number,2018,676.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Female,Number,2019,643.7,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Female,Number,2020,644.8,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Female,Number,2021,618.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Female,Number,2022,630.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Female,Number,2023,642.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Female,Number,2024,658,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Female,Number,2025,654,,Thousands,,,,,,,Provisional value,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Total,Number,2015,1298.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Total,Number,2016,1.318.9,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Total,Number,2017,1348.6,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Total,Number,2018,1366.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Total,Number,2019,1301.2,,Thousands,,,,,,,,Kenya National Bureau of Statistics
Annual,Basic/Primary education,Grade 5,Total,Number,2020,1324.5,,Thousands,,,,,,,,Kenya National Bureau of Statistics
